,date,state,cases,deaths,month_year,month
0,2/29/2020,CA,28,0,2020-02,2
1,3/31/2020,CA,8583,184,2020-03,3
2,4/30/2020,CA,50470,2057,2020-04,4
3,5/31/2020,CA,113114,4242,2020-05,5
4,6/30/2020,CA,232153,6083,2020-06,6
5,7/31/2020,CA,502273,9222,2020-07,7
6,8/31/2020,CA,712541,13020,2020-08,8
7,9/30/2020,CA,821125,15898,2020-09,9
8,10/31/2020,CA,935248,17661,2020-10,10
9,11/30/2020,CA,1237192,19209,2020-11,11
10,12/30/2020,CA,2275505,25391,2020-12,12
11,3/31/2020,FL,6742,85,2020-03,3
12,4/30/2020,FL,33683,1267,2020-04,4
13,5/31/2020,FL,56155,2450,2020-05,5
14,6/30/2020,FL,152426,3504,2020-06,6
15,7/31/2020,FL,470378,6842,2020-07,7
16,8/31/2020,FL,623463,11186,2020-08,8
17,9/30/2020,FL,706508,14316,2020-09,9
18,10/31/2020,FL,802539,16760,2020-10,10
19,11/30/2020,FL,999311,18596,2020-11,11
20,12/30/2020,FL,1306115,21545,2020-12,12
21,3/31/2020,GA,4116,126,2020-03,3
22,4/30/2020,GA,25431,1121,2020-04,4
23,5/31/2020,GA,45051,2019,2020-05,5
24,6/30/2020,GA,77280,2758,2020-06,6
25,7/31/2020,GA,171342,3674,2020-07,7
26,8/31/2020,GA,254238,5506,2020-08,8
27,9/30/2020,GA,301485,6861,2020-09,9
28,10/31/2020,GA,372631,7790,2020-10,10
29,11/30/2020,GA,454328,9198,2020-11,11
30,12/30/2020,GA,632861,10503,2020-12,12
31,2/29/2020,IL,3,0,2020-02,2
32,3/31/2020,IL,5992,107,2020-03,3
33,4/30/2020,IL,52918,2361,2020-04,4
34,5/31/2020,IL,120588,5426,2020-05,5
35,6/30/2020,IL,144661,7136,2020-06,6
36,7/31/2020,IL,180701,7703,2020-07,7
37,8/31/2020,IL,237682,8258,2020-08,8
38,9/30/2020,IL,296935,8935,2020-09,9
39,10/31/2020,IL,416557,10030,2020-10,10
40,11/30/2020,IL,727825,13015,2020-11,11
41,12/30/2020,IL,957853,17813,2020-12,12
42,3/31/2020,NC,1527,10,2020-03,3
43,4/30/2020,NC,10507,385,2020-04,4
44,5/31/2020,NC,28686,911,2020-05,5
45,6/30/2020,NC,65064,1362,2020-06,6
46,7/31/2020,NC,122370,1947,2020-07,7
47,8/31/2020,NC,167989,2733,2020-08,8
48,9/30/2020,NC,211004,3565,2020-09,9
49,10/31/2020,NC,274805,4400,2020-10,10
50,11/30/2020,NC,364968,5296,2020-11,11
51,12/30/2020,NC,535120,6780,2020-12,12
52,3/31/2020,NY,76211,1929,2020-03,3
53,4/30/2020,NY,309696,23616,2020-04,4
54,5/31/2020,NY,375575,29699,2020-05,5
55,6/30/2020,NY,398142,31776,2020-06,6
56,7/31/2020,NY,419723,32372,2020-07,7
57,8/31/2020,NY,439480,32541,2020-08,8
58,9/30/2020,NY,463369,32757,2020-09,9
59,10/31/2020,NY,512223,33152,2020-10,10
60,11/30/2020,NY,652748,34150,2020-11,11
61,12/30/2020,NY,963647,37412,2020-12,12
62,3/31/2020,OH,2199,55,2020-03,3
63,4/30/2020,OH,18027,975,2020-04,4
64,5/31/2020,OH,35513,2155,2020-05,5
65,6/30/2020,OH,51789,2863,2020-06,6
66,7/31/2020,OH,91159,3489,2020-07,7
67,8/31/2020,OH,123157,4138,2020-08,8
68,9/30/2020,OH,153987,4804,2020-09,9
69,10/31/2020,OH,215697,5301,2020-10,10
70,11/30/2020,OH,421063,6429,2020-11,11
71,12/30/2020,OH,690748,8855,2020-12,12
72,3/31/2020,PA,4997,72,2020-03,3
73,4/30/2020,PA,48224,2580,2020-04,4
74,5/31/2020,PA,76218,5555,2020-05,5
75,6/30/2020,PA,91226,6695,2020-06,6
76,7/31/2020,PA,116787,7261,2020-07,7
77,8/31/2020,PA,138840,7743,2020-08,8
78,9/30/2020,PA,164135,8216,2020-09,9
79,10/31/2020,PA,212816,8883,2020-10,10
80,11/30/2020,PA,366971,10439,2020-11,11
81,12/30/2020,PA,636710,15718,2020-12,12
82,3/31/2020,TN,2049,13,2020-03,3
83,4/30/2020,TN,10506,200,2020-04,4
84,5/31/2020,TN,22832,360,2020-05,5
85,6/30/2020,TN,42815,597,2020-06,6
86,7/31/2020,TN,103144,1047,2020-07,7
87,8/31/2020,TN,152033,1727,2020-08,8
88,9/30/2020,TN,193357,2429,2020-09,9
89,10/31/2020,TN,256923,3322,2020-10,10
90,11/30/2020,TN,366412,4546,2020-11,11
91,12/30/2020,TN,566457,6748,2020-12,12
92,2/28/2020,TX,11,0,2020-02,2
93,3/31/2020,TX,3588,57,2020-03,3
94,4/30/2020,TX,29072,828,2020-04,4
95,5/31/2020,TX,64974,1683,2020-05,5
96,6/30/2020,TX,166703,2482,2020-06,6
97,7/31/2020,TX,443090,7273,2020-07,7
98,8/31/2020,TX,640317,12857,2020-08,8
99,9/30/2020,TX,784027,16102,2020-09,9
100,10/31/2020,TX,953451,18549,2020-10,10
101,11/30/2020,TX,1262145,21968,2020-11,11
102,12/30/2020,TX,1755293,27821,2020-12,12
